episode,timestep,return,length,epsilon,loss,mean_q
285,97211,-94.0,94,0.05,0.5105744004249573,-47.03508377075195
286,97305,-94.0,94,0.05,0.04712788015604019,-46.38105010986328
287,97414,-109.0,109,0.05,0.13285429775714874,-51.09039306640625
288,97588,-174.0,174,0.05,0.10343687981367111,-44.98151397705078
289,97752,-164.0,164,0.05,0.07387404143810272,-47.229915618896484
290,97882,-130.0,130,0.05,0.046361714601516724,-47.556732177734375
291,98044,-162.0,162,0.05,0.08879569917917252,-48.7456169128418
292,98128,-84.0,84,0.05,0.03990540653467178,-48.975311279296875
293,98303,-175.0,175,0.05,0.06623785197734833,-52.86317443847656
294,98400,-97.0,97,0.05,0.04146658629179001,-46.90747833251953
295,98516,-116.0,116,0.05,0.03722988814115524,-49.232460021972656
296,98713,-197.0,197,0.05,0.08520052582025528,-46.854461669921875
297,98828,-115.0,115,0.05,0.04819196090102196,-47.04667663574219
298,99011,-183.0,183,0.05,0.1441381722688675,-49.1420783996582
299,99193,-182.0,182,0.05,0.07425327599048615,-47.72867202758789
300,99363,-170.0,170,0.05,0.040237411856651306,-51.69593811035156
301,99533,-170.0,170,0.05,0.09859640896320343,-46.11244201660156
302,99672,-139.0,139,0.05,0.1491440236568451,-49.1427001953125
303,99834,-162.0,162,0.05,0.04009498283267021,-46.735164642333984
304,100000,-166.0,166,0.05,0,0
305,100092,-92.0,92,0.05,0,0
306,100278,-186.0,186,0.05,0,0
307,100384,-106.0,106,0.05,0,0
308,100495,-111.0,111,0.05,0,0
309,100772,-277.0,277,0.05,0,0
310,100950,-178.0,178,0.05,0,0
311,101131,-181.0,181,0.05,0.05832108482718468,-50.32685089111328
312,101320,-189.0,189,0.05,0.05227939784526825,-48.242523193359375
313,101484,-164.0,164,0.05,0.20395836234092712,-47.679840087890625
314,101603,-119.0,119,0.05,0.06429172307252884,-47.53849411010742
315,101777,-174.0,174,0.05,0.06840600818395615,-49.98328399658203
316,101954,-177.0,177,0.05,0.03497931361198425,-49.19200897216797
317,102070,-116.0,116,0.05,0.14252382516860962,-53.08662796020508
318,102190,-120.0,120,0.05,0.07076622545719147,-45.600608825683594
319,102360,-170.0,170,0.05,0.06360720843076706,-49.95323181152344
320,102520,-160.0,160,0.05,0.05115711688995361,-49.57466506958008
321,102625,-105.0,105,0.05,0.04767448082566261,-46.21733093261719
322,102735,-110.0,110,0.05,0.1264846920967102,-51.832881927490234
323,102875,-140.0,140,0.05,0.02416038140654564,-51.06106185913086
324,102987,-112.0,112,0.05,0.03326991945505142,-49.823509216308594
325,103146,-159.0,159,0.05,0.19456493854522705,-47.97489929199219
326,103360,-214.0,214,0.05,0.09928779304027557,-48.70375061035156
327,103521,-161.0,161,0.05,0.05443557724356651,-48.48920440673828
328,103676,-155.0,155,0.05,0.25476810336112976,-49.48792266845703
329,103833,-157.0,157,0.05,0.046541839838027954,-48.17223358154297
330,104003,-170.0,170,0.05,0.43039578199386597,-47.832305908203125
331,104161,-158.0,158,0.05,0.16717614233493805,-48.83789825439453
332,104340,-179.0,179,0.05,0.12763261795043945,-46.14736557006836
333,104492,-152.0,152,0.05,0.21969711780548096,-52.25141143798828
334,104652,-160.0,160,0.05,0.1350233107805252,-50.24267578125
335,104746,-94.0,94,0.05,0.12161658704280853,-47.208740234375
336,104937,-191.0,191,0.05,0.03509911149740219,-51.687801361083984
337,105031,-94.0,94,0.05,0.07218499481678009,-48.04674530029297
338,105129,-98.0,98,0.05,0.09551671147346497,-49.07408905029297
339,105277,-148.0,148,0.05,0.0695183128118515,-51.362056732177734
340,105463,-186.0,186,0.05,0.038005225360393524,-50.459293365478516
341,105627,-164.0,164,0.05,0.05715937539935112,-47.84210968017578
342,105787,-160.0,160,0.05,0.048809535801410675,-49.78876495361328
343,105945,-158.0,158,0.05,0.041147515177726746,-51.659034729003906
344,106096,-151.0,151,0.05,0.05982916057109833,-51.941776275634766
345,106256,-160.0,160,0.05,0.05868662893772125,-47.188926696777344
346,106433,-177.0,177,0.05,0.05302699655294418,-48.69059371948242
347,106592,-159.0,159,0.05,0.19324985146522522,-48.09901428222656
348,106792,-200.0,200,0.05,0.1111750602722168,-46.11663818359375
349,106981,-189.0,189,0.05,0.03623837232589722,-50.93286895751953
350,107086,-105.0,105,0.05,0.05002819001674652,-50.97601318359375
351,107251,-165.0,165,0.05,0.20886288583278656,-47.023399353027344
352,107413,-162.0,162,0.05,0.3618902564048767,-46.888431549072266
